Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
25-34 years old,Man,Bisexual,White;European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",European Euro,EUR,4000.0,Monthly,51192.0,7,4,Linux-based,Elasticsearch;PostgreSQL,PostgreSQL,Angular;ASP.NET Core ,Angular;ASP.NET Core ,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,White;Middle Eastern,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",United States dollar,USD,170000.0,Yearly,170000.0,15,10,Windows,DynamoDB,Microsoft SQL Server,,Angular;ASP.NET Core ;jQuery;Node.js,,C#;HTML/CSS;JavaScript;SQL;TypeScript,AWS,AWS,2022
25-34 years old,Woman,Straight / Heterosexual,Black;Caribbean,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,141000.0,Yearly,141000.0,9,5,Windows,Elasticsearch;Microsoft SQL Server;Redis,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,jQuery;Node.js;React.js;Vue.js,Angular.js;jQuery;Node.js,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Microsoft Azure,AWS;Microsoft Azure;VMware,2022
25-34 years old,Woman,Bisexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,Germany,"Employed, full-time","Student;Developer, embedded applications or devices",European Euro,EUR,60000.0,Yearly,63986.0,4,2,Linux-based;Windows;Windows Subsystem for Linux (WSL),,SQLite,,Node.js,C;C++;Python;Rust,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;Python;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,Canada,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator",Canadian dollar,CAD,85000.0,Yearly,66372.0,17,4,Linux-based,DynamoDB,DynamoDB;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,FastAPI;Node.js;React.js;Vue.js,FastAPI;Node.js;React.js;Vue.js,Bash/Shell;HTML/CSS;JavaScript;Kotlin;Python;Rust;TypeScript,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,AWS,AWS;Google Cloud;OpenStack,2022
25-34 years old,Man,Straight / Heterosexual,Central American,Some college/university study without earning a degree,,Mexico,"Student, part-time;Independent contractor, freelancer, or self-employed","Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Student;Database administrator;Academic researcher;Data or business analyst;Designer;System administrator",,,,,,2,,Linux-based,Redis;SQLite,PostgreSQL,,Flask,Assembly;Dart;Rust;Solidity;SQL,Bash/Shell;HTML/CSS;Python,AWS;Firebase;Google Cloud;Linode;OpenStack,Heroku,2022
35-44 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, embedded applications or devices;Designer",United States dollar,USD,150000.0,Yearly,150000.0,18,12,macOS,PostgreSQL;SQLite,Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Node.js;Svelte;Vue.js,Express;Flask;Next.js;Node.js;Vue.js,HTML/CSS;JavaScript;Python;Rust;TypeScript,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,,Firebase;Google Cloud;Heroku,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, back-end;DevOps specialist",Indian rupee,INR,,Monthly,,3,2,Windows,,MongoDB;MySQL,,,C++;JavaScript,C#,,,2022
45-54 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",,USA,"Employed, full-time",Other (please specify):,,,,,,24,22,Linux-based;macOS,Elasticsearch;Microsoft SQL Server;MongoDB;Neo4j;Redis,Microsoft SQL Server;MongoDB;Redis,,,Java;JavaScript;SQL,Java;SQL,AWS;Google Cloud,Google Cloud;Microsoft Azure;VMware,2022
18-24 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, full-stack;Developer, QA or test;DevOps specialist",European Euro,EUR,60000.0,Yearly,63986.0,10,2,Linux-based;Windows,SQLite,SQLite,Flask;jQuery;Node.js;Vue.js,Flask;jQuery;Node.js;Vue.js,Bash/Shell;Go;HTML/CSS;JavaScript;Python;Rust;SQL,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,AWS;Google Cloud,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,Germany,"Student, part-time;Employed, part-time","Developer, back-end;Student",,,,,,6,,macOS,MongoDB;PostgreSQL;Redis,MySQL;Oracle;Redis,Vue.js,Ruby on Rails,Go;Rust;TypeScript,Groovy;Java;Ruby,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, back-end;Marketing or sales professional",United States dollar,USD,160000.0,Yearly,160000.0,24,20,Windows;Windows Subsystem for Linux (WSL),Couchbase,Couchbase;Microsoft SQL Server,ASP.NET Core ;jQuery,ASP.NET Core ,C#;PHP;SQL,C#;JavaScript;Python;SQL,Microsoft Azure,Microsoft Azure,2022
65 years or older,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,UK,Retired,,,,,,,More than 50 years,45,macOS,,,,,Java,Java,,,2022
25-34 years old,Man,Straight / Heterosexual,European;Southeast Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,Germany,"Student, full-time",,,,,,,15,,Linux-based,MySQL,MySQL,,,Java;R,Java;R,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,55000.0,Yearly,69102.0,12,7,Windows,,,Blazor,Node.js,Dart;Rust,HTML/CSS;JavaScript;PowerShell;TypeScript,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end",United States dollar,USD,95000.0,Yearly,95000.0,10,7,Linux-based;Windows,MariaDB;MySQL,MariaDB;MySQL,,,Clojure;Dart;Go;Java;JavaScript;Kotlin;Python;Scala;TypeScript,Bash/Shell;Java;Python;SQL,,,2022
35-44 years old,Man,Prefer not to say,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, full-stack",European Euro,EUR,67000.0,Yearly,71451.0,7,6,macOS,PostgreSQL,PostgreSQL,Angular;Ruby on Rails,Angular,TypeScript,HTML/CSS;TypeScript,,,2022
25-34 years old,Woman,Straight / Heterosexual,Hispanic or Latino/a,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,USA,"Employed, full-time","Developer, front-end",United States dollar,USD,166000.0,Yearly,166000.0,9,5,macOS,,Cloud Firestore;Firebase Realtime Database,Next.js;React.js,Next.js;React.js,HTML/CSS;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,Google Cloud,AWS;Firebase;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,UK,"Employed, full-time",Data scientist or machine learning specialist;Scientist,Pound sterling,GBP,42000.0,Yearly,52769.0,6,3,Linux-based,PostgreSQL;SQLite,PostgreSQL;SQLite,,,,Python;R,,,2022
25-34 years old,Man,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, embedded applications or devices;Security professional",United States dollar,USD,92000.0,Yearly,92000.0,7,4,Linux-based;Windows,,SQLite,,,Bash/Shell;C;Python;Rust,Bash/Shell;C;C++;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,100 to 499 employees,USA,"Independent contractor, freelancer, or self-employed","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Data or business analyst",United States dollar,USD,450000.0,Yearly,450000.0,26,22,Linux-based;Windows,DynamoDB;Microsoft SQL Server;MySQL;Oracle,DynamoDB;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;Redis,ASP.NET;ASP.NET Core ;jQuery;Node.js,Angular;ASP.NET;ASP.NET Core ;jQuery;Node.js;React.js,C#;HTML/CSS;JavaScript;SQL;VBA,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA,AWS;Firebase;Google Cloud;Microsoft Azure,AWS;Firebase;Google Cloud;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, full-stack;Developer, back-end",European Euro,EUR,75000.0,Yearly,79983.0,6,1,macOS,DynamoDB;Redis,PostgreSQL,Next.js;Nuxt.js;React.js;Vue.js,Nuxt.js;Vue.js,Kotlin;Python,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,,,2022
25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,UK,"Employed, full-time","Developer, back-end;Student;DevOps specialist;Project manager;System administrator",Pound sterling,GBP,38000.0,Yearly,47743.0,7,4,Windows,MongoDB,MongoDB;MySQL,ASP.NET Core ,Angular.js;ASP.NET;ASP.NET Core ,C#,C#;Python;SQL,Microsoft Azure,Microsoft Azure,2022
35-44 years old,Woman,Gay or Lesbian,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,200000.0,Yearly,200000.0,22,17,macOS;Windows,PostgreSQL,PostgreSQL,Express;Node.js;Vue.js,Express;Node.js;Vue.js,C++;Python;R,JavaScript;SQL,,,2022
Under 18 years old,Man,Bisexual,North American,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Canada,"Student, full-time",,,,,,,3,,,Cloud Firestore;Elasticsearch;MongoDB;PostgreSQL;Firebase Realtime Database;Redis,Cloud Firestore;MongoDB;PostgreSQL;Firebase Realtime Database;Redis,Express;Fastify;Next.js;Node.js;React.js,Express;Fastify;Next.js;Node.js;React.js,C#,HTML/CSS;JavaScript;Python;TypeScript,AWS;DigitalOcean;Firebase,DigitalOcean;Firebase;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,100 to 499 employees,USA,"Employed, full-time","Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices",United States dollar,USD,35000.0,Yearly,35000.0,7,5,Windows,MySQL;PostgreSQL,MySQL;PostgreSQL,,,C++;JavaScript;Python;R;SQL;VBA,Python;SQL;VBA,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,60000.0,Yearly,75384.0,8,7,Windows,Microsoft SQL Server,Microsoft SQL Server,,jQuery,C#;SQL,C#;HTML/CSS;JavaScript;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",UK,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",Pound sterling,GBP,62500.0,Yearly,78525.0,17,10,Windows,Elasticsearch;Microsoft SQL Server;MongoDB,Microsoft SQL Server;SQLite,Angular.js;ASP.NET Core ;Blazor;Node.js;React.js,ASP.NET;ASP.NET Core ;Blazor,C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL,AWS;Microsoft Azure,Microsoft Azure;VMware,2022
45-54 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, back-end;Database administrator;Project manager;Security professional",United States dollar,USD,130000.0,Yearly,130000.0,27,25,Windows,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,Drupal;jQuery;Laravel;Node.js;React.js;Symfony,Drupal;jQuery;Symfony,Bash/Shell;HTML/CSS;JavaScript;PHP;R;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;R;SQL,AWS;Google Cloud;Managed Hosting;Microsoft Azure;OpenStack;VMware,AWS;Google Cloud;Managed Hosting;VMware,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end",United States dollar,USD,110000.0,Yearly,110000.0,7,3,Windows,,MySQL,,,Dart;Java;Python,Java;Python;SQL,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,UK,"Not employed, but looking for work","Developer, back-end",,,,,,30,,Linux-based,,,React.js,React.js,HTML/CSS;Java;JavaScript;Python,HTML/CSS;Java;JavaScript;Python,AWS,AWS,2022
45-54 years old,Man,Straight / Heterosexual,Prefer not to say,Some college/university study without earning a degree,10 to 19 employees,USA,"Employed, full-time;Independent contractor, freelancer, or self-employed","Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Senior Executive (C-Suite, VP, etc.)",United States dollar,USD,6000000.0,Yearly,6000000.0,32,28,Linux-based;Windows,,,,,C#,C#,Microsoft Azure,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,Canada,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Designer",Canadian dollar,CAD,85000.0,Yearly,66372.0,7,4,Linux-based,,PostgreSQL;Redis,Node.js;React.js;Vue.js,Node.js;React.js,Clojure;Kotlin;TypeScript,HTML/CSS;Java;Kotlin;SQL;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,,UK,"Employed, full-time;Student, full-time","Developer, back-end;Student;System administrator",,,,,,10,,macOS,Couchbase;PostgreSQL;Redis,Couchbase;PostgreSQL;Redis,Express;Node.js;React.js,Express;FastAPI;Node.js;React.js,Go;Kotlin;Python;Rust;SQL;TypeScript,Go;JavaScript;Python;Rust;SQL;TypeScript,AWS;Google Cloud,AWS;DigitalOcean;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,East Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Canada,"Employed, full-time","Engineer, data;Data or business analyst",Canadian dollar,CAD,100000.0,Yearly,78084.0,12,5,Linux-based;Windows,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,,Django,JavaScript;Python;SQL,JavaScript;Python;SQL,AWS;Google Cloud;Microsoft Azure,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,African;Black,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,UK,"Student, full-time;Independent contractor, freelancer, or self-employed",Data scientist or machine learning specialist;Student;Data or business analyst,,,,,,4,,Windows,,,,,C#;C++;JavaScript;Python,C#;Python,,,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, back-end;Cloud infrastructure engineer",United States dollar,USD,,,,22,22,Linux-based,Couchbase,Couchbase,,,Go,Bash/Shell;Go;JavaScript;Python;TypeScript,AWS;Google Cloud,AWS;Google Cloud,2022
25-34 years old,Man,Gay or Lesbian,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,98000.0,Yearly,98000.0,5,5,Windows,,,ASP.NET;Express;Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js,ASP.NET;Blazor;Express;jQuery;Node.js;Nuxt.js;React.js;Vue.js,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,,,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end",United States dollar,USD,144000.0,Yearly,144000.0,26,24,Linux-based;macOS,MariaDB;PostgreSQL;Redis,MariaDB;PostgreSQL;Redis,jQuery;Vue.js,Angular.js;jQuery;Vue.js,JavaScript;Perl;Python;Ruby;SQL,C#;JavaScript;Perl;Python;Ruby;SQL,AWS;Managed Hosting,AWS;Managed Hosting,2022
